iter	Passed	Remaining
0	119	119766
1	122	60955
2	124	41295
3	126	31392
4	127	25445
5	129	21532
6	132	18727
7	133	16612
8	135	14936
9	137	13602
10	139	12521
11	140	11602
12	142	10806
13	143	10116
14	145	9527
15	146	9015
16	147	8550
17	149	8141
18	150	7766
19	152	7453
20	153	7175
21	155	6905
22	156	6655
23	157	6418
24	159	6214
25	160	6018
26	162	5841
27	163	5673
28	164	5521
29	166	5383
30	167	5249
31	169	5122
32	170	5006
33	172	4901
34	173	4796
35	175	4693
36	176	4594
37	177	4501
38	179	4429
39	181	4351
40	182	4275
41	184	4201
42	185	4133
43	187	4067
44	188	4002
45	190	3942
46	191	3887
47	193	3833
48	194	3779
49	196	3726
50	197	3673
51	199	3631
52	200	3587
53	202	3544
54	204	3506
55	205	3466
56	207	3429
57	209	3394
58	210	3356
59	212	3329
60	213	3294
61	215	3260
62	217	3229
63	218	3201
64	220	3172
65	222	3144
66	223	3116
67	225	3091
68	227	3063
69	228	3039
70	230	3012
71	232	2992
72	234	2972
73	236	2953
74	238	2942
75	240	2922
76	242	2905
77	244	2892
78	246	2879
79	248	2862
80	251	2848
81	253	2837
82	255	2821
83	257	2807
84	259	2793
85	261	2777
86	263	2761
87	264	2744
88	267	2734
89	268	2717
90	270	2702
91	272	2686
92	273	2671
93	275	2655
94	277	2641
95	279	2628
96	280	2615
97	282	2598
98	283	2582
99	285	2572
100	287	2557
101	288	2542
102	290	2527
103	292	2516
104	293	2504
105	294	2486
106	296	2473
107	298	2463
108	299	2452
109	301	2441
110	303	2428
111	304	2417
112	306	2407
113	308	2395
114	309	2384
115	312	2378
116	313	2368
117	315	2357
118	316	2346
119	318	2337
120	320	2326
121	321	2317
122	323	2307
123	325	2299
124	327	2293
125	329	2285
126	331	2278
127	333	2270
128	334	2261
129	336	2253
130	338	2245
131	340	2236
132	341	2227
133	343	2221
134	345	2214
135	347	2205
136	348	2197
137	350	2191
138	352	2183
139	354	2175
140	355	2167
141	357	2159
142	359	2153
143	360	2145
144	362	2138
145	364	2132
146	366	2124
147	367	2116
148	369	2109
149	371	2102
150	372	2096
151	374	2088
152	376	2083
153	378	2077
154	380	2072
155	381	2066
156	383	2060
157	385	2056
158	387	2050
159	389	2044
160	391	2041
161	393	2036
162	395	2030
163	396	2023
164	399	2020
165	401	2014
166	402	2008
167	404	2003
168	406	1999
169	407	1991
170	409	1984
171	410	1978
172	412	1972
173	414	1966
174	415	1960
175	417	1954
176	419	1949
177	421	1944
178	422	1938
179	424	1934
180	426	1931
181	428	1925
182	430	1920
183	431	1914
184	433	1909
185	434	1903
186	436	1898
187	438	1893
188	440	1888
189	441	1882
190	443	1878
191	445	1874
192	447	1870
193	448	1865
194	450	1860
195	452	1856
196	454	1851
197	455	1845
198	457	1839
199	458	1834
200	460	1829
201	461	1824
202	463	1819
203	464	1813
204	466	1808
205	467	1802
206	469	1798
207	471	1793
208	472	1788
209	474	1783
210	475	1778
211	477	1774
212	478	1769
213	480	1764
214	481	1758
215	483	1754
216	484	1749
217	486	1744
218	487	1739
219	489	1733
220	490	1728
221	491	1723
222	493	1718
223	494	1712
224	495	1707
225	496	1701
226	498	1697
227	500	1693
228	501	1689
229	503	1685
230	504	1680
231	506	1676
